date,category,buy_value,sell_value,net_value
2008-02-25,DII,986.13,1302.62,-316.49
2008-02-25,FII/FPI,3164.03,2380.17,783.86
2008-02-26,DII,1250.15,738.82,511.33
2008-02-26,FII/FPI,2327.66,2359.65,-31.99
2008-02-27,DII,1365.24,1023.89,341.35
2008-02-27,FII/FPI,3378.0,3027.55,350.45
2008-02-28,DII,2096.11,1363.73,732.38
2008-02-28,FII/FPI,3536.38,4345.48,-809.1
2008-02-29,DII,1719.28,976.49,742.79
2008-02-29,FII/FPI,3712.39,4047.26,-334.87
2008-03-01,DII,2024.5,1497.85,526.65
2008-03-01,FII/FPI,5409.98,5654.54,-244.56
2008-03-03,DII,1283.3,1202.83,80.47
2008-03-03,FII/FPI,3416.87,4128.18,-711.31
2008-03-04,DII,1122.23,856.84,265.39
2008-03-04,FII/FPI,2717.21,3110.62,-393.41
2008-03-06,DII,980.14,717.65,262.49
2008-03-06,FII/FPI,2900.14,3920.84,-1020.7
2008-03-07,DII,1116.88,590.78,526.1
2008-03-07,FII/FPI,3090.22,3697.14,-606.92
2008-03-10,DII,1013.86,957.11,56.75
2008-03-10,FII/FPI,2793.65,4455.91,-1662.26
2008-03-11,DII,848.11,945.14,-97.03
2008-03-11,FII/FPI,2430.17,2066.62,363.55
2008-03-12,DII,739.25,373.01,366.24
2008-03-12,FII/FPI,888.39,1340.5,-452.11
2008-03-13,DII,1173.42,1116.98,56.44
2008-03-13,FII/FPI,3676.08,3784.58,-108.5
2008-03-14,DII,1105.08,1004.75,100.33
2008-03-14,FII/FPI,3396.6,3754.6,-358.0
2008-03-17,DII,1127.88,916.4,211.48
2008-03-17,FII/FPI,3738.31,4396.53,-658.22
2008-03-18,DII,1116.35,939.02,177.33
2008-03-18,FII/FPI,4488.64,5499.69,-1011.05
2008-03-19,DII,1629.04,1486.85,142.19
2008-03-19,FII/FPI,3828.16,3797.62,30.54
2008-03-24,DII,836.61,1089.88,-253.27
2008-03-24,FII/FPI,2884.39,2508.26,376.13
2008-03-25,DII,1413.7,1013.73,399.97
2008-03-25,FII/FPI,5020.45,3774.33,1246.12
2008-03-26,DII,1063.92,1172.57,-108.65
2008-03-26,FII/FPI,3133.5,2739.59,393.91
2008-03-27,DII,1785.81,1445.97,339.84
2008-03-27,FII/FPI,4806.56,4558.58,247.98
2008-03-28,DII,1643.62,914.12,729.5
2008-03-28,FII/FPI,3062.5,3464.45,-401.95
2008-03-31,DII,1880.72,1314.69,566.03
2008-03-31,FII/FPI,2959.05,3824.84,-865.79
2008-04-01,DII,1952.45,1445.6,506.85
2008-04-01,FII/FPI,4542.3,4526.29,16.01
